year,quarter,baa_aaa
1971,1,1.3133
1971,2,1.1333
1971,3,1.1467
1971,4,1.1133
1972,1,1
1972,2,0.9467
1972,3,0.9633
1972,4,0.8567
1973,1,0.7467
1973,2,0.7867
1973,3,0.88
1973,4,0.7867
1974,1,0.6467
1974,2,0.7
1974,3,0.8233
1974,4,1.5533
1975,1,1.94
1975,2,1.7567
1975,3,1.67
1975,4,1.77
1976,1,1.7
1976,2,1.3633
1976,3,1.1567
1976,4,1.03
1977,1,1.0733
1977,2,0.9833
1977,3,0.8833
1977,4,0.84
1978,1,0.7467
1978,2,0.8
1978,3,0.7467
1978,4,0.76
1979,1,0.8633
1979,2,1.0033
1979,3,1.1033
1979,4,1.2733
1980,1,1.3367
1980,2,2.1533
1980,3,1.59
1980,4,1.84
1981,1,2.0833
1981,2,1.7867
1981,3,1.5567
1981,4,2.0667
1982,1,2.0233
1982,2,2.27
1982,3,2.4967
1982,4,2.5133
1983,1,1.9992
1983,2,1.6727
1983,3,1.176
1983,4,1.1959
1984,1,1.4498
1984,2,1.479
1984,3,1.7137
1984,4,1.2439
1985,1,1.1364
1985,2,1.3773
1985,3,1.4447
1985,4,1.3873
1986,1,1.4416
1986,2,1.2708
1986,3,1.3527
1986,4,1.4134
1987,1,1.2934
1987,2,1.1937
1987,3,1.1511
1987,4,1.1608
1988,1,1.1984
1988,2,1.1698
1988,3,1.1091
1988,4,1.0033
1989,1,0.955
1989,2,0.8852
1989,3,0.9221
1989,4,0.9235
1990,1,0.9035
1990,2,0.9178
1990,3,1.0076
1990,4,1.2995
1991,1,1.2751
1991,2,1.0175
1991,3,0.8986
1991,4,0.9544
1992,1,0.9217
1992,2,0.8522
1992,3,0.7238
1992,4,0.8486
1993,1,0.6639
1993,2,0.7352
1993,3,0.7309
1993,4,0.71
1994,1,0.6846
1994,2,0.6526
1994,3,0.6647
1994,4,0.6373
1995,1,0.5975
1995,2,0.5749
1995,3,0.6243
1995,4,0.6546
1996,1,0.663
1996,2,0.6859
1996,3,0.7034
1996,4,0.6829
1997,1,0.6467
1997,2,0.6127
1997,3,0.5892
1997,4,0.5615
1998,1,0.5895
1998,2,0.613
1998,3,0.6338
1998,4,0.9161
1999,1,0.9798
1999,2,0.8047
1999,3,0.7737
1999,4,0.7492
2000,1,0.6192
2000,2,0.8316
2000,3,0.7105
2000,4,0.8097
2001,1,0.8074
2001,2,0.8144
2001,3,0.838
2001,4,0.992
2002,1,1.3325
2002,2,1.3089
2002,3,1.2752
2002,4,1.3208
2003,1,1.1146
2003,2,1.1644
2003,3,1.1103
2003,4,1.0069
2004,1,0.8192
2004,2,0.736
2004,3,0.8081
2004,4,0.7023
2005,1,0.6461
2005,2,0.8258
2005,3,0.8878
2005,4,0.9597
2006,1,0.9153
2006,2,0.8403
2006,3,0.9124
2006,4,0.8944
2007,1,0.9332
2007,2,0.9131
2007,3,0.88
2007,4,0.9721
2008,1,1.2961
2008,2,1.3897
2008,3,1.5542
2008,4,3.0184
2009,1,2.9472
2009,2,2.4603
2009,3,1.3978
2009,4,1.1282
2010,1,0.9948
2010,2,1.1361
2010,3,1.1966
