date,STFBEI_MA_N.Q,STFBEID_MA_N.Q,STFBEIF_MA_N.Q,STFBEIT_MA_N.Q,STFBEIS_MA_N.Q
1985Q1,39994,33563,4204,1897,250
1985Q2,39494,33195,3966,1981,272
1985Q3,38790,31993,4018,2407,284
1985Q4,38922,31967,4402,2170,290
1986Q1,38688,31449,4373,2462,314
1986Q2,36253,30061,4010,1795,318
1986Q3,34657,28835,3740,1714,316
1986Q4,33903,27709,3844,1916,366
1987Q1,34216,27415,3817,2584,334
1987Q2,35739,28282,3896,3112,383
1987Q3,36470,29116,4057,2852,377
1987Q4,38622,30880,4154,3196,321
1988Q1,38473,30552,4189,3296,370
1988Q2,39507,31066,4444,3580,350
1988Q3,42828,33384,4989,4007,379
1988Q4,45593,35363,5343,4442,393
1989Q1,47555,36638,5966,4475,412
1989Q2,51629,39910,6371,4866,429
1989Q3,52495,40176,6252,5568,442
1989Q4,53356,40702,6308,5859,433
1990Q1,52880,39971,5874,6528,441
1990Q2,50253,39998,5723,4048,423
1990Q3,50959,40787,5796,3878,439
1990Q4,50761,40683,5352,4226,447
1991Q1,45774,37599,4176,3396,548
1991Q2,42303,35259,3698,2802,490
1991Q3,41171,34212,3512,2900,501
1991Q4,39240,32340,3065,3260,526
1992Q1,34095,27992,2608,3008,443
1992Q2,31517,25507,2442,3100,424
1992Q3,29415,23788,2079,2999,511
1992Q4,27499,21500,2134,3332,492
1993Q1,26469,20465,2031,3425,512
1993Q2,25823,19744,2058,3457,523
1993Q3,26712,19737,2178,4196,561
1993Q4,26578,19524,2176,4285,555
1994Q1,25314,18164,2277,4278,558
1994Q2,27674,19237,2874,4934,595
1994Q3,27022,19673,3352,3356,608
1994Q4,30820,22014,3972,4109,689
1995Q1,34470,24411,4457,4805,759
1995Q2,36985,26345,4690,5126,789
1995Q3,37938,27088,4636,5396,782
1995Q4,38537,27410,4637,5616,838
1996Q1,37468,26827,4297,5491,820
1996Q2,36533,26200,4153,5320,827
1996Q3,37251,26700,4101,5485,928
1996Q4,38921,27712,4228,6012,933
1997Q1,38536,27418,4981,5168,968
1997Q2,40400,28777,4878,5792,953
1997Q3,41703,29921,4989,5754,1038
1997Q4,43549,30825,5560,6106,1058
1998Q1,43851,30813,5690,6143,1204
1998Q2,44057,30925,5354,6666,1112
1998Q3,45802,32028,5654,6891,1229
1998Q4,44333,31363,5474,6285,1211
1999Q1,42398,29541,5141,6539,1178
1999Q2,41664,28998,5095,6413,1158
1999Q3,42979,29460,5153,7125,1241
1999Q4,48202,31841,5816,9234,1310
2000Q1,49684,33530,6120,8718,1316
2000Q2,54223,36460,6770,9563,1430
2000Q3,58140,39521,6911,10181,1527
2000Q4,59844,41477,7040,9720,1608
2001Q1,57087,39619,6380,9559,1528
2001Q2,50536,35534,5434,8169,1398
2001Q3,45723,32318,4712,7315,1378
2001Q4,35361,24803,3055,6286,1217
2002Q1,29816,20817,2455,5443,1101
2002Q2,31141,21442,2545,6047,1107
2002Q3,30258,20840,2516,5788,1115
2002Q4,27496,18577,2403,5391,1125
2003Q1,25281,16906,2158,5145,1073
2003Q2,24523,16247,2094,5125,1058
2003Q3,22642,15056,1761,4771,1054
2003Q4,21660,14173,1579,4867,1040
2004Q1,22374,14542,1794,4951,1087
2004Q2,22935,14686,2032,5113,1104
2004Q3,25657,16339,2527,5575,1217
2004Q4,27557,18063,2489,5538,1467
2005Q1,32920,21191,3559,6707,1463
2005Q2,37395,24232,4144,7422,1597
2005Q3,43276,28301,5232,8075,1668
2005Q4,48900,32192,6226,8586,1896
2006Q1,54432,35856,7139,9488,1950
2006Q2,61409,40939,8187,10174,2109
2006Q3,68145,46146,8984,10799,2216
2006Q4,78941,50680,9538,16393,2329
2007Q1,72975,50128,9319,11256,2272
2007Q2,76556,52116,9778,12319,2343
2007Q3,80412,55206,9625,13069,2512
2007Q4,80156,55116,8949,13613,2478
2008Q1,68753,47013,6918,12439,2384
2008Q2,55319,37709,5199,10455,1956
2008Q3,53227,36219,4939,10335,1734
2008Q4,49227,33339,2699,10963,2227
2009Q1,34028,23956,1284,7202,1586
2009Q2,32047,22196,1033,7300,1518
2009Q3,28359,19726,1006,6326,1301
2009Q4,25761,17150,761,6603,1247
2010Q1,23861,15301,666,6848,1046
2010Q2,22646,14557,665,6403,1020
2010Q3,21308,13753,513,5898,1143
2010Q4,21100,13114,1247,5727,1012
2011Q1,19135,12092,823,5211,1009
2011Q2,18885,12048,862,5059,916
2011Q3,16988,11015,581,4500,893
2011Q4,15973,10069,559,4460,885
2012Q1,15176,9507,543,4193,933
2012Q2,14430,9126,532,3904,867
2012Q3,13569,8733,514,3516,806
