date,STFBLI_MA_N.Q,STFBLID_MA_N.Q,STFBLIF_MA_N.Q,STFBLIT_MA_N.Q,STFBLIS_MA_N.Q
1985Q1,1815950,1544495,188792,68799,10880
1985Q2,1852314,1572742,192551,72144,11942
1985Q3,1887555,1591921,200264,79858,12604
1985Q4,1940369,1620897,213137,89617,13764
1986Q1,1987924,1653388,225040,91601,14984
1986Q2,2007390,1668410,227555,92882,15728
1986Q3,2035211,1686231,229476,100456,16262
1986Q4,2087296,1722447,240188,105176,16668
1987Q1,2126340,1756245,246429,103832,17068
1987Q2,2143678,1777578,235982,110150,17250
1987Q3,2171667,1796165,231421,124026,17307
1987Q4,2209618,1828502,236281,124673,17439
1988Q1,2254303,1860033,244288,129821,17461
1988Q2,2286277,1877528,247005,141772,17257
1988Q3,2312800,1899190,245182,148678,17033
1988Q4,2337228,1928611,241295,147675,16864
1989Q1,2366155,1959899,246737,139743,16918
1989Q2,2408386,1981837,261424,144810,17432
1989Q3,2440084,2000038,266908,151947,18481
1989Q4,2474208,2034222,272591,145654,19391
1990Q1,2515125,2073906,276943,142493,19590
1990Q2,2553113,2110409,273715,147206,19578
1990Q3,2577545,2137714,266272,152032,19342
1990Q4,2571572,2147675,254679,145624,21413
1991Q1,2566993,2162099,243126,135744,23848
1991Q2,2586620,2179676,240224,140515,24063
1991Q3,2597879,2182536,239920,149136,24235
1991Q4,2605688,2192954,236116,150049,24577
1992Q1,2601412,2194129,239184,141315,24851
1992Q2,2592009,2175680,238505,149774,26111
1992Q3,2587524,2150723,238975,167118,28726
1992Q4,2592975,2146973,250230,162006,31817
1993Q1,2599801,2148293,259842,155920,33878
1993Q2,2617521,2145337,263227,171576,35477
1993Q3,2641686,2141818,267916,193285,36742
1993Q4,2683509,2157944,275134,211634,36956
1994Q1,2718159,2181327,280092,217899,37096
1994Q2,2751544,2200891,290259,221660,37145
1994Q3,2788563,2220459,297911,230853,37838
1994Q4,2847961,2260186,306270,240489,39505
1995Q1,2910927,2301539,313746,253527,40609
1995Q2,2959608,2322060,317655,277019,41340
1995Q3,3010116,2342724,322215,300823,42787
1995Q4,3050575,2377598,325017,303048,43405
1996Q1,3083440,2418838,320629,298255,44204
1996Q2,3115019,2437979,313568,315373,46367
1996Q3,3147118,2443169,310114,344069,47930
1996Q4,3204272,2482499,313478,356838,49618
1997Q1,3270742,2531189,352428,334654,51520
1997Q2,3335095,2569666,384516,327894,53019
1997Q3,3417456,2625149,393411,344560,54337
1997Q4,3506855,2695011,409592,344044,58208
1998Q1,3584485,2754282,416770,349816,63617
1998Q2,3641546,2792909,404017,378498,66122
1998Q3,3685430,2815771,400356,401857,67447
1998Q4,3778554,2885521,422266,400584,70183
1999Q1,3862973,2944867,435282,410384,72440
1999Q2,3901063,2950124,440253,437345,73342
1999Q3,3949751,2975819,430201,469218,74513
1999Q4,4066433,3050512,428371,512110,75440
2000Q1,4193766,3125244,454206,537268,77048
2000Q2,4292780,3187030,471063,554758,79930
2000Q3,4381288,3259211,464002,575360,82715
2000Q4,4455763,3345754,461444,563435,85130
2001Q1,4533733,3417893,480649,547052,88139
2001Q2,4579117,3450665,498891,540147,89414
2001Q3,4616375,3476288,520162,529546,90379
2001Q4,4631529,3487391,515254,535648,93235
2002Q1,4609191,3494425,498316,522956,93494
2002Q2,4661154,3539521,505715,523214,92704
2002Q3,4763172,3595413,517141,558020,92599
2002Q4,4859859,3665231,541036,560480,93112
2003Q1,4961896,3758731,562942,545820,94402
2003Q2,5073241,3834999,588528,554052,95662
2003Q3,5156951,3894662,572422,592914,96953
2003Q4,5227169,3961034,522667,645385,98083
2004Q1,5368059,4066324,532799,670213,98722
2004Q2,5554019,4180820,571886,700613,100699
2004Q3,5702670,4271261,597315,730939,103156
2004Q4,5770646,4379056,579548,705680,106362
2005Q1,5881803,4501659,569306,699207,111631
2005Q2,5987184,4559170,595594,718381,114040
2005Q3,6104807,4635340,624057,730114,115296
2005Q4,6236207,4750865,636513,729798,119031
2006Q1,6410071,4904889,653407,727924,123851
2006Q2,6639312,5065287,697095,747833,129096
2006Q3,6831369,5180167,750413,766880,133909
2006Q4,7041624,5347001,736790,815416,142418
2007Q1,7170860,5452484,716302,850602,151472
2007Q2,7367816,5563834,742819,903937,157225
2007Q3,7634211,5721919,739893,1008739,163660
2007Q4,7924961,5925440,737042,1091988,170491
2008Q1,8171929,6105059,771904,1120668,174297
2008Q2,8269411,6145192,804945,1145393,173882
2008Q3,8464845,6216006,832755,1242432,173652
2008Q4,8746320,6449841,820826,1297567,178086
2009Q1,8702423,6536754,774822,1215496,175352
2009Q2,8520719,6508163,752706,1093031,166819
2009Q3,8427430,6589792,722554,953297,161788
2009Q4,8356269,6676861,620047,903198,156162
2010Q1,8446996,6700047,548140,1047877,150931
2010Q2,8479865,6661500,548111,1122162,148093
2010Q3,8394359,6660389,546798,1038737,148435
2010Q4,8362037,6718332,538373,958843,146489
2011Q1,8327891,6795795,505332,885481,141283
2011Q2,8327879,6851825,479286,859215,137554
2011Q3,8284623,6876432,467393,804912,135885
2011Q4,8237005,6903020,449602,751285,133097
2012Q1,8299347,6993969,436862,738501,130015
2012Q2,8367077,7070525,459063,715302,122187
2012Q3,8386496,7105045,467952,699917,113582
