firm,ticker,permno,
Ally Financial,ALLY,,
AMERICAN EXPRESS,AXP,59176,
BANK OF AMER CORP,BAC,58827,
BANK OF NY MELLON CORP,BK,59379,
BB&T CORP,BBT,71563,
BBVA USA BSHRS,BBVA,83590,
BMO FNCL CORP,BMO,81284,
CAPITAL ONE FC,COF,81055,
CITIGROUP,C,70519,
COMERICA,CMA,25081,
DISCOVER,DFS,92121,
FIFTH THIRD BC,FITB,34746,
GOLDMAN,GS,35048,
HSBC,HBC,87033,
HUNTINGTON BSHRS,HBAN,42906,
JPMORGAN CHASE & CO,JPM,47896,
KEYCORP,KEY,64995,
MORGAN STANLEY,MS,69032,
M&T BK CORP,MTB,35554,
NORTHERN TR CORP,NTRS,58246,
PNC FNCL SVC GROUP,PNC,60442,
RBS CITIZENS FNCL GRP,RBS,92355,
REGIONS FC,RF,35044,
SANTANDER,SAN,75152,
STATE STREET CORP,STT,72726,
SUNTRUST BK,STI,68144,
U S BC,USB,66157,
UNIONBANCAL CORP,UNB,89279,
WELLS FARGO & CO,WFC,38703,50024
ZIONS BC,ZION,84129,
